Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
2.0,4.0,4.0,350.0,300.0,-6.17365,106.77577,5500000000.0,Duri Kepa,Jakarta Barat,2.0
1.0,3.0,4.0,250.0,350.0,-6.2452337,106.7999471,18000000000.0,Kebayoran Baru,Jakarta Selatan,3.0
2.0,5.0,4.0,500.0,266.0,-6.31254,106.80421,8500000000.0,Lebak Bulus,Jakarta Selatan,1.0
2.0,4.0,4.0,250.0,180.0,-6.2481661,106.8262565,5500000000.0,Mampang Prapatan,Jakarta Selatan,0.0
4.0,3.0,3.0,196.0,76.0,-6.159817599999999,106.7853922,2700000000.0,Jelambar,Jakarta Barat,0.0
1.0,4.0,2.0,325.0,218.0,-6.2251223,106.8549881,2800000000.0,Tebet,Jakarta Selatan,1.0
2.0,3.0,2.0,84.0,61.0,-6.356087199999999,106.879792,996000000.0,Cibubur,Jakarta Timur,1.0
2.0,3.0,3.0,300.0,200.0,-6.1026441,106.7411622,14000000000.0,Pantai Indah Kapuk,Jakarta Utara,0.0
2.0,4.0,3.0,300.0,180.0,-6.161308699999999,106.9049822,5500000000.0,Kelapa Gading,Jakarta Utara,2.0
2.0,6.0,5.0,600.0,543.0,-6.1937297,106.8392111,19000000000.0,Menteng,Jakarta Pusat,3.0
2.0,6.0,5.0,1000.0,2050.0,-6.2775326,106.7794935,110000000000.0,Pondok Indah,Jakarta Selatan,6.0
3.0,7.0,9.0,2000.0,1144.0,-6.1937584,106.8016144,35000000000.0,Slipi,Jakarta Barat,4.0
2.0,5.0,8.0,900.0,320.0,-6.1026441,106.7411622,35000000000.0,Pantai Indah Kapuk,Jakarta Utara,0.0
4.0,4.0,3.0,165.0,64.0,-6.159817599999999,106.7853922,1950000000.0,Jelambar,Jakarta Barat,0.0
3.0,2.0,3.0,192.0,75.0,-6.159817599999999,106.7853922,2500000000.0,Jelambar,Jakarta Barat,0.0
3.0,4.0,4.0,1200.0,360.0,-6.15808,106.91815,25000000000.0,Kelapa Gading,Jakarta Utara,0.0
3.0,4.0,4.0,290.0,112.0,-6.33405,106.79344,3750000000.0,Cilandak,Jakarta Selatan,2.0
2.0,3.0,3.0,100.0,52.0,-6.33405,106.79344,1160000000.0,Cilandak,Jakarta Selatan,1.0
2.0,5.0,4.0,580.0,420.0,-6.2577523,106.7688104,9500000000.0,Veteran,Jakarta Selatan,2.0
3.0,7.0,4.0,160.0,174.0,-6.22584,106.85681,6000000000.0,Tebet,Jakarta Selatan,8.0
2.0,4.0,2.0,202.0,135.0,-6.2321915,106.9152021,2250000000.0,Duren Sawit,Jakarta Timur,2.0
2.0,4.0,3.0,450.0,200.0,-6.308751699999999,106.8749344,4500000000.0,Ciracas,Jakarta Timur,2.0
2.0,2.0,2.0,39.0,20.0,-6.207429299999999,106.8915948,482000000.0,Cipinang,Jakarta Timur,0.0
2.0,2.0,2.0,39.0,20.0,-6.136937199999999,106.8620891,451000000.0,Sunter,Jakarta Utara,0.0
1.0,5.0,4.0,366.0,1025.0,-6.28041,106.79664,18000000000.0,Fatmawati,Jakarta Selatan,2.0
2.0,5.0,8.0,800.0,492.0,-6.1873038,106.8261072,18200000000.0,Kebon Kacang,Jakarta Pusat,1.0
